id,question,expected_answer,expected_pages,answerable,category,keywords
Q01,What is the typical initial vacation entitlement for a new employee?,"The initial entitlement is stated in the employment contract and is typically 15 days, prorated based on the start date.","1,6",true,entitlement,15 days; employment contract; prorated
Q02,What is the maximum vacation entitlement per calendar year?,An employee's vacation entitlement cannot exceed 30 days per calendar year.,"1,6",true,entitlement,30 days; maximum
Q03,How many vacation days may normally be carried over?,Up to five vacation days may normally be carried over when the required conditions and approval are met.,1,true,carry-over,five days; carry-over
Q04,When must a carry-over request be submitted?,The written request must be submitted to the department head or designate no later than November 1 of the accrual period.,2,true,carry-over,November 1; written request
Q05,Can an employee carry over more than five vacation days?,"Yes, but only in exceptional circumstances related to operational requirements and with written approval from the appropriate department head.",2,true,carry-over,exceptional circumstances; operational requirements; written approval
Q06,Do employees continue to accrue vacation during maternity and parental leave?,Yes. Employees continue to accrue vacation during maternity and parental leave.,2,true,leave-of-absence,continue to accrue; maternity; parental
Q07,What happens if an employee is hospitalized for five or more days during vacation?,Sick leave may be substituted for vacation when the serious illness or accident requires hospitalization or confinement to bed for five or more days and is supported by substantiated medical documentation.,2,true,leave-of-absence,sick leave; substituted; five days; medical documentation
Q08,How is vacation entitlement affected by an unpaid leave longer than one month?,"Vacation entitlement is prorated for the period actually worked, except that this rule does not apply to maternity or parental leave.",2,true,leave-of-absence,prorated; period worked; unpaid leave
Q09,How is vacation payout calculated when an employee terminates employment?,The payout is prorated based on service in that year and reduced by vacation already used up to the prorated entitlement.,3,true,termination,prorated; service; reduced; vacation used
Q10,What is the accrual period?,The accrual period is January 1 through December 31 of each year.,3,true,definition,January 1; December 31
Q11,Who approves requests to carry over vacation?,"The department head or designate approves carry-over requests in accordance with departmental guidelines, applicable collective agreements, and the procedures.","1,4",true,responsibility,department head; designate; approve
Q12,Can a department head approve their own carry-over request?,No. Department heads or designates must submit their own carry-over requests to their supervisor and cannot approve their own requests.,4,true,responsibility,cannot approve their own; supervisor
Q13,How many sick days are employees entitled to?,I could not find enough information in the provided documents.,,false,negative,
Q14,What dental benefits are provided?,I could not find enough information in the provided documents.,,false,negative,
Q15,What is the overtime compensation policy?,I could not find enough information in the provided documents.,,false,negative,
